参数a,参数b,参数c,参数d,参数e,参数f,平均适应度
1.500640869140625,-0.0261268615722656,0.0138168334960937,1.999755859375,-0.8975830078125,1.9942703247070312,12261.250593333323
-2.0,-0.0184326171875,-0.9246826171875,1.9254188537597656,0.1693115234375,-1.4514198303222656,11193.97297333334
-1.2084922790527344,0.1856689453125,-0.5312538146972656,-0.5184326171875,-0.92041015625,-0.5650482177734375,10239.635170000001
1.593994140625,-0.400146484375,0.3358154296875,1.9432373046875,-0.55322265625,0.644287109375,8754.819893333328
-0.4836463928222656,-0.030029296875,0.0313720703125,-2.0,1.60400390625,-1.1285438537597656,8499.799893333333
1.6826210021972656,-0.0817909240722656,0.0994873046875,1.6704063415527344,-0.819244384765625,1.2657508850097656,8499.639403333336
-1.2080078125,0.1273193359375,-0.53131103515625,-0.5184326171875,-1.820068359375,0.9527587890625,8499.439893333334
1.1016807556152344,-0.0261192321777343,-0.1112060546875,-1.6510047912597656,1.604084014892578,-1.511993408203125,8499.402146666665
1.0931358337402344,0.587158203125,-0.2363853454589843,1.9999961853027344,-0.8956336975097656,1.4092445373535156,8499.31989333333
1.680644989013672,-0.01959228515625,0.0994834899902343,1.6723594665527344,-0.8192405700683594,1.2657470703125,8499.316840000007
1.0931396484375,0.212158203125,-0.2363853454589843,2.0,-0.8936805725097656,1.4092445373535156,8498.88031
1.0919151306152344,-0.3190841674804687,0.446685791015625,-1.2603683471679688,1.60400390625,-1.451385498046875,8498.739893333332
1.766387939453125,0.223876953125,-0.2363853454589843,2.0,1.1741943359375,-1.9999961853027344,8498.477266666665
1.2860069274902344,-0.321044921875,0.4151840209960937,-1.6666297912597656,1.6040000915527344,-0.3585205078125,8498.269956666674
1.2423095703125,-0.0259857177734375,0.0313720703125,-1.9374313354492188,1.6040077209472656,-2.0,8498.134396666666
1.5163917541503906,0.223876953125,-0.2363853454589843,2.0,-0.8975868225097656,1.4093055725097656,8497.924310000015
1.1016807556152344,-0.0261192321777343,-0.1112022399902343,-1.6666259765625,1.6040878295898438,-1.449462890625,8497.821016666665
-0.483642578125,-0.0300331115722656,0.0137939453125,1.941104888916016,0.671630859375,-2.0,8497.619956666666
1.593994140625,-0.400146484375,0.3358154296875,1.9432373046875,-0.55322265625,0.7730751037597656,8497.611713333343
-1.2331428527832031,-0.35400390625,0.7686729431152344,-0.1419754028320312,1.9999961853027344,2.0,8497.359893333341
-1.45849609375,0.1898193359375,-0.53125,-0.5184288024902344,-0.92236328125,-0.5650482177734375,8497.139893333326
1.593994140625,-0.400146484375,0.3358154296875,1.9432373046875,-0.55322265625,0.644287109375,8497.060479999991
1.9179725646972656,-0.6994667053222656,-1.4608154296875,-1.0546875,-0.920166015625,-0.180419921875,8497.05934666666
1.469390869140625,-0.0417518615722656,0.0138168334960937,1.999755859375,-0.8975830078125,1.4093093872070312,8496.722443333325
0.323974609375,0.5911865234375,-0.53125,-0.6453857421875,-1.822265625,0.8896484375,8496.719893333331
-2.0,0.1814002990722656,-0.338134765625,-1.3913612365722656,1.1737060546875,-0.4161376953125,8496.594879999997
-1.2669677734375,-0.5732421875,1.2764892578125,1.023681640625,-1.5608139038085938,-1.8631591796875,8496.459893333338
-1.20849609375,0.1898193359375,-0.53125,-0.5184326171875,-0.92041015625,-0.180419921875,8496.40082666666
1.6806716918945312,0.168212890625,0.0994873046875,-0.1419715881347656,1.9999923706054688,1.9999961853027344,8496.199893333336
1.5521202087402344,-0.3233795166015625,0.415191650390625,-1.6666297912597656,1.6821327209472656,-2.0,8495.65199333333
1.3016319274902344,-0.3250885009765625,0.4151763916015625,-2.0,1.1741905212402344,-0.6700019836425781,8495.533326666658
-1.2080116271972656,0.6273193359375,-0.53131103515625,-0.5184326171875,-1.820556640625,0.9527549743652344,8495.445356666669
1.6806488037109375,0.04296875,0.0994834899902343,-0.0504150390625,0.966796875,0.0908241271972656,8495.331796666687
-0.4836387634277344,-0.3190879821777344,0.4190673828125,-1.393310546875,1.1739501953125,-1.1207313537597656,8495.111179999989
-0.4836387634277344,-0.0300369262695312,0.0137939453125,1.948917388916016,0.671630859375,-2.0,8494.849956666672
-1.20849609375,0.1898193359375,-0.53131103515625,-0.5184326171875,-1.8200645446777344,0.952880859375,8493.999893333328
1.6806678771972656,-0.081787109375,0.0994911193847656,1.1381797790527344,-0.8153076171875,1.2657470703125,8493.962173333339
1.4110679626464844,-0.383544921875,0.4152450561523437,-1.6353797912597656,1.6040077209472656,-1.2985382080078125,8493.774423333341
-1.20849609375,0.1898193359375,-0.53125,-0.5184288024902344,-0.92041015625,-0.5650482177734375,8493.759893333332
-1.20849609375,0.1898193359375,-0.53125,-0.5184326171875,-0.92041015625,-0.180419921875,8493.662490000006
0.6806564331054688,0.0375938415527343,0.4029502868652344,-0.9763565063476562,-1.984375,-0.3377761840820312,8493.55012
1.5112037658691406,0.223876953125,0.569732666015625,-2.0,1.5942420959472656,-0.2984580993652344,8493.31701000001
-1.2084999084472656,0.1898193359375,-0.53125,-0.5184326171875,-0.920166015625,-0.180419921875,8493.299893333327
-1.9715576171875,-0.0184326171875,-0.59368896484375,0.2879676818847656,-0.8492469787597656,-1.4494667053222656,8492.74796333335
1.3016319274902344,-0.3250885009765625,0.4151840209960937,-1.6666297912597656,1.1741867065429688,-0.6699981689453125,8492.539893333336
0.8939170837402344,0.1366920471191406,0.0838584899902343,-0.9034461975097656,-0.913543701171875,-1.0940093994140625,8492.457736666658
1.0914306640625,0.1814002990722656,0.3216743469238281,-1.6353721618652344,1.8696327209472656,0.093017578125,8492.419893333328
